id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
1,A/L Pending,Maths;ICT;Technology,Diploma in Information Technology,Software Engineering,Associate Software Engineer,Backend Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,Very High,123000,599000-1800000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
2,O/L Completed,Maths;ICT;Technology,Certificate in Programming,Software Engineering,Software Developer Trainee,Backend Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,High,122000,541000-2170000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
3,Career Switcher,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Junior Software Developer,Full Stack Developer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Medium,111000,555000-1670000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
4,Undergraduate,Maths;ICT;Technology,BSc Computer Science,Software Engineering,Software Developer Trainee,Full Stack Developer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,106000,414000-1660000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
5,A/L Pending,Maths;ICT;Technology,Diploma in Software Engineering,Software Engineering,Associate Software Engineer,Full Stack Developer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,90000,593000-1780000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
6,Undergraduate,Maths;ICT;Technology,BSc Computer Science,Software Engineering,Software Developer Trainee,Software Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,High,102000,398000-800000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
7,Career Switcher,Maths;ICT;Technology,BSc Software Engineering,Software Engineering,Associate Software Engineer,Backend Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,High,89000,459000-920000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
8,Diploma Holder,Maths;ICT;Technology,NVQ Level 4 IT Technician,Software Engineering,Junior Software Developer,Backend Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,High,142000,419000-1260000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
9,Career Switcher,Maths;ICT;Technology,BSc Software Engineering,Software Engineering,Associate Software Engineer,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,High,98000,322000-640000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
10,A/L Pending,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Software Developer Trainee,Backend Engineer,Software Architect,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,136000,441000-880000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
11,Graduate,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Associate Software Engineer,Full Stack Developer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Very High,137000,355000-710000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
12,A/L Completed,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Junior Software Developer,Backend Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Medium,147000,578000-1160000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
