id,career_category,career_name,al_stream_required,minimum_education_level,recommended_degree,alternative_path,entry_level_job,mid_level_job,senior_level_job,key_technical_skills,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description,career_difficulty,study_duration_years,local_job_availability,international_opportunity,recommended_first_step,career_tags
1,"Technology & IT","Software Architect",Maths;Technology,A/L,"BSc in Software Architect","External Diploma","Junior Software Architect","Senior Software Architect","Head of Software Architect","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Software Architect within the Technology & IT sector in Sri Lanka.","Very Hard",4,High,High,Degree,software;architect;technology;;it
2,"Technology & IT","Cybersecurity Analyst",Maths;Technology,A/L,"BSc in Cybersecurity Analyst","External Diploma","Junior Cybersecurity Analyst","Senior Cybersecurity Analyst","Head of Cybersecurity","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Cybersecurity Analyst within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,cybersecurity;analyst;technology;;it
3,"Technology & IT","Cybersecurity Engineer",Maths;Technology,A/L,"BSc in Cybersecurity Engineer","External Diploma","Junior Cybersecurity Engineer","Senior Cybersecurity Engineer","Head of Cybersecurity","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Cybersecurity Engineer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,cybersecurity;engineer;technology;;it
4,"Technology & IT","Data Engineer",Maths;Technology,A/L,"BSc in Data Engineer","External Diploma","Junior Data Engineer","Senior Data Engineer","Head of Data","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Data Engineer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,data;engineer;technology;;it
5,"Technology & IT","Data Analyst",Maths;Technology,A/L,"BSc in Data Analyst","External Diploma","Junior Data Analyst","Senior Data Analyst","Head of Data","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Data Analyst within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,data;analyst;technology;;it
6,"Technology & IT","Machine Learning Engineer",Maths;Technology,A/L,"BSc in Machine Learning Engineer","External Diploma","Junior Machine Learning Engineer","Senior Machine Learning Engineer","Head of Machine Learning","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Machine Learning Engineer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,machine;learning;engineer;technology;;it
7,"Technology & IT","MLOps Engineer",Maths;Technology,A/L,"BSc in MLOps Engineer","External Diploma","Junior MLOps Engineer","Senior MLOps Engineer","Head of MLOps","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a MLOps Engineer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,mlops;engineer;technology;;it
8,"Technology & IT","Cloud Architect",Maths;Technology,A/L,"BSc in Cloud Architect","External Diploma","Junior Cloud Architect","Senior Cloud Architect","Head of Cloud Architect","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Cloud Architect within the Technology & IT sector in Sri Lanka.","Very Hard",4,High,High,Degree,cloud;architect;technology;;it
9,"Technology & IT","DevOps Engineer",Maths;Technology,A/L,"BSc in DevOps Engineer","External Diploma","Junior DevOps Engineer","Senior DevOps Engineer","Head of DevOps","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a DevOps Engineer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,devops;engineer;technology;;it
10,"Technology & IT","Site Reliability Engineer",Maths;Technology,A/L,"BSc in Site Reliability Engineer","External Diploma","Junior Site Reliability Engineer","Senior Site Reliability Engineer","Head of Site Reliability","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Site Reliability Engineer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,site;reliability;engineer;technology;;it
