id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
1,A/L Pending,Physical Science Stream - Physics focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,IT Technician,Cloud Engineer,Senior Cloud Architect,Cloud Computing (AWS/Azure)|Linux/Windows Server|Routing & Switching,Reliability|Communication|Customer Service,Computer Networks|System Administration|Operating Systems,CCNA|CompTIA Network+,High,High,125000,155000-420000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
2,A/L Completed,Arts Stream - History focus,LLB Law,Legal Services,Legal Assistant,Attorney-at-Law,Judge,Compliance|Drafting Contracts|Litigation,Analytical Thinking|Public Speaking|Negotiation,Corporate Law|Criminal Law|Constitutional Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,60000,90000-350000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
3,O/L Completed,Architecture & Built Environment Interest,BArch Architecture,Architecture,Junior Draftsman,Project Architect,Design Director,SketchUp|3D Rendering|AutoCAD,Visualization|Creativity|Attention to Detail,Structural Design|Building Materials|Architectural Design,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,85000,115000-510000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
4,O/L Completed,Data Analysis & AI Interest,BSc Data Science,Data Science,Data Analyst,Machine Learning Engineer,Senior Data Scientist,Machine Learning|Data Viz|SQL,Presentation|Analytical Thinking|Curiosity,Big Data|Linear Algebra|Deep Learning,AWS Machine Learning|IBM Data Science,High,Very High,195000,225000-530000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
5,A/L Pending,Biological Science Stream - Chemistry focus,MBBS Medicine,Healthcare - Medical,Pre-Intern Medical Officer,Medical Officer,Chief Medical Officer,Diagnosis|Patient Care|Medical Procedures,Communication|Decision Making Under Pressure|Empathy,Pediatrics|Physiology|Surgery,MRCP|MD/MS (Sri Lanka),Very High,Very High,175000,205000-1960000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
6,A/L Pending,Physical Science Stream - Math focus,BSc Hospitality Management,Tourism,Tour Guide,Event Manager,Resort Manager,Property Management Systems|Languages|Inventory Management,Customer Service|Cultural Awareness|Interpersonal Skills,Hospitality Operations|Food & Beverage Management|Tourism Marketing,IATA Certification|Language Diplomas,High,Medium,55000,85000-310000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
7,Career Switcher,Medicine Interest,MBBS Medicine,Healthcare - Medical,Junior Doctor,Medical Officer,Consultant Specialist,Medical Procedures|Diagnosis|Pharmacology,Decision Making Under Pressure|Ethics|Empathy,Surgery|Anatomy|Physiology,USMLE|MRCP,Very High,Very High,190000,220000-1150000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
8,A/L Pending,Physical Science Stream - Physics focus,BSc Hospitality Management,Tourism,Management Trainee,Event Manager,Director of Tourism,Languages|Inventory Management|Event Planning,Problem Solving|Customer Service|Interpersonal Skills,Tourism Marketing|HR in Hospitality|Food & Beverage Management,Food Safety Certification|IATA Certification,High,Medium,95000,125000-520000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
9,O/L Completed,Architecture & Built Environment Interest,BArch Architecture,Architecture,Design Intern,Interior Designer,Senior Architect,SketchUp|Building Codes|Revit,Creativity|Attention to Detail|Visualization,Structural Design|History of Architecture|Building Materials,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,100000,130000-260000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
10,O/L Completed,Agriculture Interest,BSc Agriculture,Agriculture & Agri-Business,Farm Supervisor,Agronomist,Estate Superintendent,"Pest Control|Soil Science|Agri-Tech (IoT, Drones)",Physical Endurance|Team Management|Adaptability,Soil Science|Crop Science|Agricultural Economics,GAP Certification|Pesticide Application License,Medium,Low,55000,85000-150000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
