id,career_category,career_name,al_stream_required,minimum_education_level,recommended_degree_fields,alternative_path,entry_level_job,mid_level_job,senior_level_job,key_technical_skills,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description,career_difficulty,study_duration_years,local_job_availability,international_opportunity,recommended_first_step,career_tags,postgrad_path
1,Technology & IT,Software Architect,Any (with ICT),A/L,Software Engineering; Computer Science; Information Technology,External Diploma,Junior Software Engineer,Senior Software Engineer,Software Architect,System Design;Microservices;Cloud Architecture;Security;UML,Problem Solving;Adaptability;Teamwork;Communication,Programming;Data Structures;Operating Systems;Networking,AWS Certified;Azure Fundamentals;Google Cloud Professional,High,High,115000,"400,000-2,500,000",Very High,Very High,Low,"Designs large-scale software systems and decides system architecture, technologies, and integration strategies.",Very Hard,4,High,High,Apply for Bachelor Degree in Software Engineering / Computer Science,software;architect;technology;it,MSc Software Engineering; MSc Computer Science; MBA (Technology Management)
2,Technology & IT,Cybersecurity Analyst,Any (with ICT),A/L,Cybersecurity; Computer Science; Information Technology,External Diploma,Junior Cybersecurity Analyst,Senior Cybersecurity Analyst,Head of Cybersecurity,Network Security;SIEM;Pen Testing;Cloud Security,Problem Solving;Adaptability;Teamwork;Communication,Cryptography;Network Security;Digital Forensics,"CEH; CISSP; CISA",High,High,100000,"400,000-2,500,000",Very High,Very High,Very Low,"Protects computer systems and networks from cyber threats and unauthorized access.",Hard,4,High,High,Apply for Bachelor Degree in Cybersecurity / Computer Science / IT,cybersecurity;analyst;technology;it,MSc Cybersecurity; MSc Information Security; PhD in Cybersecurity
3,Technology & IT,Cybersecurity Engineer,Any (with ICT),A/L,Cybersecurity; Computer Engineering; Computer Science,External Diploma,Junior Cybersecurity Engineer,Senior Cybersecurity Engineer,Head of Cybersecurity,Infrastructure Security;SIEM;Firewalls;Scripting,Problem Solving;Adaptability;Teamwork;Communication,Cryptography;Network Security;Embedded Security,"CEH; CISSP; CompTIA Security+",High,High,100000,"400,000-2,500,000",Very High,Very High,Very Low,"Designs and implements secure network systems to prevent data breaches and hacking.",Hard,4,High,High,Apply for Bachelor Degree in Cybersecurity / Computer Engineering,cybersecurity;engineer;technology;it,MSc Cybersecurity; MEng Computer Engineering; PhD in Cybersecurity
4,Technology & IT,Data Engineer,Any (with ICT),A/L,Data Science; Software Engineering; Computer Science,External Diploma,Junior Data Engineer,Senior Data Engineer,Head of Data,Python;Java;Cloud Computing;SQL;Spark;Big Data,Problem Solving;Adaptability;Teamwork;Communication,Programming;Data Structures;Database Systems;Algorithms,AWS Certified;Azure Fundamentals;GCP Professional,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Builds and maintains pipelines that collect, store, and process large amounts of data.",Hard,4,High,High,Apply for Bachelor Degree in Data Science / Software Engineering,data;engineer;technology;it,MSc Data Engineering; MSc Data Science; PhD in Data Science
5,Technology & IT,Data Analyst,Any (with ICT),A/L,Data Science; Statistics; Information Technology,External Diploma,Junior Data Analyst,Senior Data Analyst,Head of Data,SQL;Statistics;Power BI;Python;Tableau,Problem Solving;Adaptability;Teamwork;Communication,Statistics;Data Visualization;Big Data Analytics,Google Data Analytics;Tableau Desktop Specialist,High,High,90000,"400,000-2,000,000",Very High,Very High,Medium,"Analyzes complex data sets to extract insights and help businesses make data-driven decisions.",Hard,4,High,High,Apply for Bachelor Degree in Data Science / Statistics / IT,data;analyst;technology;it,MSc Data Science; MSc Statistics; MSc Business Analytics
6,Technology & IT,Machine Learning Engineer,Any (with ICT),A/L,Computer Science; Artificial Intelligence; Software Engineering,External Diploma,Junior ML Engineer,Senior ML Engineer,Head of Research,Python;TensorFlow;PyTorch;Scikit-Learn;Probability,Problem Solving;Adaptability;Teamwork;Communication,Programming;Algorithms;Linear Algebra;Calculus,AWS Machine Learning Specialty;Azure AI Engineer,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Develops and implements machine learning models and algorithms to solve complex problems.",Hard,4,High,High,Apply for Bachelor Degree in Computer Science / AI / Software Engineering,machine;learning;engineer;technology;it,MSc Artificial Intelligence; MSc Machine Learning; PhD in Artificial Intelligence
7,Technology & IT,MLOps Engineer,Any (with ICT),A/L,Computer Science; Information Technology; Software Engineering,External Diploma,Junior MLOps Engineer,Senior MLOps Engineer,Head of Infrastructure,Python;Kubernetes;MLflow;Docker;CI/CD;Linux,Problem Solving;Adaptability;Teamwork;Communication,Operating Systems;Distributed Systems;Automation,AWS DevOps Professional,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Manages the lifecycle of machine learning models through automation and deployment pipelines.",Hard,4,High,High,Apply for Bachelor Degree in Computer Science / IT / Software Engineering,mlops;engineer;technology;it,MSc Software Engineering; MSc Cloud Computing; MBA (Technology Management)
8,Technology & IT,Cloud Architect,Any (with ICT),A/L,Computer Science; Cloud Computing; Software Engineering,External Diploma,Junior Software Engineer,Cloud Engineer,Cloud Architect,AWS/Azure/GCP;Terraform;Networking;Security;Unix,Problem Solving;Adaptability;Teamwork;Communication,Distributed Systems;Virtualization;Cloud Security,AWS Solutions Architect Professional,High,High,115000,"400,000-2,500,000",Very High,Very High,Low,"Designs and manages complex cloud infrastructure and migration strategies for businesses.",Very Hard,4,High,High,Apply for Bachelor Degree in Computer Science / Cloud Computing / IT,cloud;architect;technology;it,MSc Cloud Computing; MSc IT Infrastructure; MBA (Technology Management)
9,Technology & IT,DevOps Engineer,Any (with ICT),A/L,Computer Science; Software Engineering; Information Technology,External Diploma,Junior DevOps Engineer,Senior DevOps Engineer,Head of Infrastructure,Docker;Kubernetes;CI/CD;Terraform;Shell Scripting,Problem Solving;Adaptability;Teamwork;Communication,Operating Systems;Automation;Networking,AWS Certified DevOps Engineer,High,High,115000,"400,000-2,500,000",Very High,Very High,Low,"Integrates software development and IT operations to shorten the delivery lifecycle.",Hard,4,High,High,Apply for Bachelor Degree in Computer Science / Software Engineering / IT,devops;engineer;technology;it,MSc Software Engineering; MSc Cloud Computing; MBA
10,Technology & IT,Site Reliability Engineer,Any (with ICT),A/L,Computer Science; Software Engineering; Systems Engineering,External Diploma,Junior SRE,Senior SRE,Head of Site Reliability,Linux;Python;Go;Docker;Kubernetes;Monitoring Tools,Problem Solving;Adaptability;Teamwork;Communication,Operating Systems;Reliability Engineering;Networking,Google Professional Cloud SRE,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Ensures high availability and reliability of systems through automation and system engineering.",Hard,4,High,High,Apply for Bachelor Degree in Computer Science / Software Engineering,site;reliability;engineer;technology;it,MSc IT Systems Engineering; MSc Computer Science; PhD in Distributed Systems
11,Technology & IT,Blockchain Developer,Any (with ICT),A/L,Computer Science; Software Engineering; Cybersecurity,External Diploma,Junior Blockchain Developer,Senior Blockchain Developer,Blockchain Architect,Solidity;Ethereum;Cryptography;Rust;P2P Networking,Problem Solving;Adaptability;Teamwork;Communication,Cryptography;Data Structures;Decentralized Systems,Certified Blockchain Developer,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Designs and develops decentralized applications and smart contracts on blockchain platforms.",Hard,4,High,High,Apply for Bachelor Degree in Computer Science / Software Engineering / IT,blockchain;developer;technology;it,MSc Blockchain Technology; MSc Computer Science; PhD in Distributed Systems
12,Technology & IT,Game Developer,Any (with ICT),A/L,Game Development; Computer Science; Software Engineering,External Diploma,Junior Game Developer,Senior Game Developer,Technical Director,C++;C#;Unity;Unreal Engine;DirectX,Problem Solving;Adaptability;Teamwork;Communication,Computer Graphics;3D Math;Game Physics,Unity Certified Developer,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Develops video games using engines and custom code for various platforms.",Hard,4,High,High,Apply for Bachelor Degree in Game Development / Computer Science,game;developer;technology;it,MSc Game Development; MSc Computer Science; MFA in Game Design
